"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"State Bank of India","57.63","42.37","0","-","31-MAR-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_146188_237406_11042020113017_WEB.xml"
"State Bank of India","57.64","42.36","0","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_149233_283950_14072020043311_WEB.xml"
"State Bank of India","57.63","42.37","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_152603_345833_19102020100032_WEB.xml"
"State Bank of India","57.64","42.36","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_154011_383715_11012021053359_WEB.xml"
"State Bank of India","57.63","42.37","0","Revised","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_157711_440340_20042021092353_WEB.xml"
"State Bank of India","57.62","42.38","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_159952_490095_19072021055030_WEB.xml"
"State Bank of India","57.62","42.38","0","-","30-SEP-2021","18-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_162237_535844_18102021033909_WEB.xml"
"State Bank of India","57.6","42.4","0","-","31-DEC-2021","19-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_165262_594251_19012022072627_WEB.xml"
